Verlorene K;Verlorene PK;Bediente;Qmax;Qnow;Qavg;WaitMax;WaitAvg;
24;12;284;5;5;1,55554;13,3604;3,1996;
15;1;276;5;3;1,24727;13,1455;2,6574;
5;2;278;5;4;1,31094;12,5491;2,7578;
11;1;280;5;5;1,20658;11,2347;2,4841;
8;2;274;5;0;0,95218;11,2328;2,085;
1;1;262;5;0;0,76318;11,152;1,7477;
20;2;286;5;3;1,60974;14,8456;3,344;
7;1;261;5;4;0,99555;12,0832;2,2313;
27;7;299;5;0;2,00828;14,1304;4,0299;
14;1;269;5;1;1,07735;12,3335;2,3942;
29;8;288;5;4;1,64437;14,7155;3,3588;
22;3;283;5;3;1,6864;13,1316;3,5234;
21;8;283;5;3;1,60722;13,1242;3,3514;
3;0;277;5;0;1,01898;10,4705;2,2071;
8;5;281;5;4;1,37506;13,2041;2,893;
11;1;269;5;0;1,07866;11,7088;2,4059;
17;3;291;5;0;1,89038;12,2318;3,8976;
11;6;288;5;5;1,83959;12,307;3,7636;
19;5;286;5;3;1,74472;12,3539;3,6428;
9;0;277;5;0;1,03904;10,5165;2,2506;
26;8;286;5;4;1,91538;12,8774;3,9509;
2;3;275;5;2;0,99687;10,9941;2,1644;
16;4;278;5;0;1,28837;12,4736;2,7806;
14;2;264;5;3;1,15357;10,9806;2,5838;
2;1;275;5;3;1,18483;11,5145;2,5419;
6;4;284;5;1;1,24001;11,2341;2,6039;
11;2;258;5;2;0,96681;13,5816;2,2349;
13;4;279;5;1;1,2322;13,5603;2,6433;
28;6;308;5;4;2,03789;13,1971;3,9234;
15;2;294;5;0;1,57041;13,5532;3,2049;
8;0;284;5;2;1,31531;14,3697;2,7598;
13;3;287;5;2;1,47911;14,0942;3,0528;
12;4;280;5;5;1,51526;13,1686;3,1473;
8;3;286;5;3;1,41369;12,1715;2,9127;
7;4;268;5;0;1,05346;9,9021;2,3584;
15;6;278;5;0;1,4068;12,8696;3,0362;
14;6;280;5;5;1,54095;15,5072;3,1991;
9;2;284;5;4;1,31915;13,1598;2,6954;
16;2;288;5;4;1,5498;13,0498;3,1356;
25;4;293;5;2;1,64091;12,2027;3,3469;
25;2;301;5;0;2,01954;15,5548;4,0256;
8;8;260;5;0;1,12762;11,083;2,6022;
16;4;278;5;2;1,3015;11,8669;2,7874;
20;2;272;5;0;1,12257;13,5885;2,4762;
7;2;276;5;5;1,20037;16,219;2,5596;
12;4;283;5;1;1,50444;12,1452;3,1859;
18;4;264;5;0;1,24266;14,6221;2,8242;
14;3;276;5;0;1,29755;14,0607;2,8207;
18;5;291;5;3;1,46554;11,6842;3,0048;
11;0;257;5;2;0,93856;10,4269;2,1809;
;;;;;;;;
;Verlorene K;Verlorene PK;Bediente;Qmax;Qnow;Qavg;WaitMax;WaitAvg
Erwartungswert ;13,82;3,46;279,58;5;2,14;1,3738432;12,710882;2,899378
Varianz;50,92612245;6,498367347;120,2077551;0;3,306530612;0,097751065;2,05383053;0,315610612
