Verlorene K;Verlorene PK;0Bediente;0Qmax;0Qnow;0Qavg;0WaitMax;0WaitAvg;1Bediente;1Qmax;1Qnow;1Qavg;1WaitMax;1WaitAvg;
40;8;110;5;4;3,64497;40,4199;19,7392;108;5;4;3,29223;35,3669;18,0738;
47;5;113;5;0;3,78766;35,441;20,1114;106;5;1;3,5743;35,2441;20,1932;
47;11;109;5;3;3,65475;36,1517;19,9218;107;5;3;3,34114;31,5637;18,4122;
63;11;112;5;2;3,80623;34,4877;20,2888;100;5;2;3,53642;34,4561;21,1674;
25;5;114;5;4;3,66136;35,803;18,9453;103;5;3;3,36916;37,6222;19,3235;
58;10;109;5;4;3,87423;36,5232;21,0369;111;5;4;3,57161;37,9916;19,1073;
65;8;113;5;4;3,77096;34,4791;19,6442;107;5;4;3,31;35,6116;18,0861;
41;7;112;5;3;3,75728;35,1015;19,9628;107;5;2;3,35573;34,9273;18,692;
68;13;114;5;4;4,38539;40,5346;22,766;108;5;4;4,13085;37,2067;22,5994;
30;3;111;5;1;3,6857;38,5793;19,8937;109;5;1;3,26966;37,0177;17,9636;
59;6;107;5;5;3,69551;38,0302;20,2243;108;5;4;3,38232;34,3938;18,3863;
58;4;110;5;4;4,11708;37,0884;22,067;111;5;3;3,77921;33,9229;20,1045;
49;10;107;5;2;3,92338;37,261;21,9133;113;5;1;3,68679;36,1374;19,5489;
44;7;113;5;4;3,95592;39,8783;20,8084;108;5;4;3,66387;35,026;20,2301;
41;12;109;5;3;3,88387;37,3221;21,2676;113;5;2;3,62425;31,3533;19,078;
43;10;107;5;3;3,82294;35,4697;21,3045;113;5;2;3,35436;33,1795;17,7713;
72;9;106;5;4;4,14572;37,0696;23,1258;114;5;3;3,78844;37,799;19,8327;
37;10;111;5;1;3,78444;35,7461;20,4239;109;5;2;3,54873;33,9914;19,4791;
51;10;112;5;4;3,98262;38,254;21,144;108;5;3;3,6746;35,3351;20,174;
37;6;113;5;5;3,80199;36,9449;19,845;108;5;4;3,51908;36,4304;19,3243;
42;7;111;5;3;3,82586;34,9476;20,5787;111;5;3;3,44076;37,1912;18,5034;
37;6;106;5;5;3,37072;35,3658;18,7329;107;5;5;3,01725;33,5604;16,5899;
54;7;112;5;4;4,10785;40,8295;21,6498;109;5;4;3,79926;37,4644;20,6325;
30;4;106;5;1;2,99929;36,2948;16,9111;107;5;0;2,65257;37,8025;14,8742;
12;0;106;5;2;3,08686;32,7191;17,405;109;5;1;2,63421;32,7166;14,4664;
29;8;110;5;3;3,60009;33,7637;19,42;109;5;3;3,11358;33,6323;16,9622;
54;5;113;5;5;3,67441;37,8669;19,2907;107;5;4;3,43036;37,6135;18,9656;
44;10;114;5;1;3,81931;32,5678;20,0618;108;5;0;3,52909;36,1581;19,606;
88;28;108;5;5;4,25956;37,3375;23,1226;112;5;5;4,00094;34,1595;21,1772;
74;10;114;5;2;4,29565;38,1247;22,4862;108;5;2;4,03803;38,0062;22,2923;
25;3;109;5;3;3,18744;38,3992;17,4166;104;5;2;2,8211;34,2387;16,1821;
43;2;114;5;1;3,47806;33,8629;18,2543;106;5;2;3,16521;36,6459;17,8078;
22;4;110;5;2;3,48153;35,6072;18,9342;110;5;2;3,14028;37,3765;17,0341;
43;6;107;5;4;3,77361;36,2073;20,8487;114;5;4;3,40376;33,0959;17,6937;
33;10;109;5;3;3,553;35,4598;19,4745;111;5;2;3,14666;33,2469;16,8217;
44;12;113;5;5;4,10459;38,2309;21,3012;109;5;5;3,77568;38,5173;20,4285;
47;5;106;5;3;3,86769;37,0667;21,7454;113;5;2;3,51502;38,4985;18,5885;
26;6;107;5;0;3,1135;37,5928;17,4588;106;5;0;2,64645;31,3905;14,9799;
67;6;108;5;0;4,17067;36,9228;23,1704;113;5;0;3,82321;39,6299;20,3002;
62;8;114;5;2;4,08088;32,8544;21,404;107;5;1;4,00311;38,0477;22,3941;
51;9;112;5;4;4,00215;37,7318;20,9701;108;5;3;3,65837;41,113;20,1081;
56;11;109;5;2;3,91333;36,8706;21,4006;110;5;2;3,60738;40,7914;19,6311;
38;3;107;5;1;3,61272;39,4282;20,1786;113;5;0;3,17823;38,5562;16,8755;
35;4;110;5;5;2,88772;36,3948;15,2786;110;5;3;2,56922;37,4575;13,7816;
46;7;115;5;2;3,96562;39,3251;20,6004;107;5;2;3,72074;36,7227;20,6625;
38;6;108;5;4;3,6055;35,5133;19,8229;108;5;2;3,28044;34,341;18,1335;
54;7;107;5;1;3,55915;39,1146;19,9558;112;5;0;3,21991;33,1825;17,2495;
36;10;114;5;4;3,66369;38,194;19,0528;105;5;3;3,25694;35,4006;18,3864;
57;12;112;5;3;3,79087;35,3088;20,1069;107;5;2;3,61316;36,9013;20,0839;
33;3;112;5;3;3,6584;40,1196;19,3398;108;5;2;3,37149;33,9145;18,6575;
;;;;;;;;;;;;;;
;Verlorene K;Verlorene PK;0Bediente;0Qmax;0Qnow;0Qavg;0WaitMax;0WaitAvg;1Bediente;1Qmax;1Qnow;1Qavg;1WaitMax;1WaitAvg
Erwartungswert;45,9;7,68;110,3;5;2,94;3,7530344;36,81215;20,216146;108,78;5;2,44;3,4269032;35,838998;18,748352
Varianz;221,8877551;17,69142857;7,724489796;0;2,139183673;0,103718454;4,129854099;2,6692086;8,42;0;1,965714286;0,130679971;5,382580526;3,792708419
