Verlorene K;Verlorene PK;0Bediente;0Qmax;0Qnow;0Qavg;0WaitMax;0WaitAvg;1Bediente;1Qmax;1Qnow;1Qavg;1WaitMax;1WaitAvg;
42;7;107;5;3;3,4742;36,2479;19,3665;110;5;5;3,58432;39,8901;19,3079;
48;7;109;5;0;3,65834;35,8558;20,1376;108;5;0;3,74585;36,2266;20,8102;
48;12;104;5;3;3,65126;37,378;20,7925;109;5;4;3,78121;35,8317;20,3987;
63;11;101;5;3;3,75037;35,296;22,071;109;5;3;3,63071;33,1649;19,8848;
27;4;103;5;4;3,71762;36,9065;21,2873;113;5;3;3,52754;38,154;18,4412;
60;8;113;5;3;3,68755;36,5563;19,3657;107;5;5;3,94576;37,4446;21,8648;
66;10;111;5;3;3,59878;35,1063;19,1613;108;5;3;3,87302;35,827;21,2523;
45;4;109;5;4;3,47487;33,3882;18,8335;108;5;2;3,68367;37,8792;20,3653;
68;12;114;5;4;4,16265;40,1593;21,6151;108;5;5;4,25514;36,8945;23,2475;
30;5;107;5;2;3,44841;37,4063;19,2444;110;5;1;3,38083;36,4746;18,4067;
57;9;105;5;5;3,50057;36,2833;19,4636;109;5;4;3,60476;36,6282;19,4642;
59;5;109;5;3;3,8133;36,286;20,5363;111;5;3;4,07008;35,717;21,7212;
49;11;112;5;1;3,71607;38,2273;19,8366;107;5;2;4,07244;37,3759;22,795;
45;6;113;5;4;3,65839;35,7465;19,312;108;5;4;3,92085;34,8558;21,5284;
43;10;113;5;4;3,63846;36,8488;19,0437;109;5;1;3,76097;36,7032;20,6958;
41;12;110;5;2;3,69033;34,9499;20,0604;109;5;4;3,63413;33,2648;19,8418;
73;8;112;5;4;3,95617;37,4984;20,9397;107;5;4;4,08855;33,578;22,6817;
40;10;106;5;3;3,77236;37,3343;21,2519;109;5;2;3,58628;39,7579;19,6547;
55;6;112;5;3;3,80897;37,1349;20,3026;108;5;4;3,96981;35,9436;21,6502;
40;4;109;5;5;3,85316;37,0037;20,9526;111;5;4;3,52865;33,9982;18,6808;
44;6;109;5;3;3,44953;35,0503;18,8847;111;5;4;3,848;35,2369;20,5675;
40;7;103;5;5;3,43317;35,9896;19,4567;106;5;5;3,41747;34,1756;18,9659;
54;8;108;5;4;3,94002;36,3644;21,5026;112;5;4;4,08619;40,6781;21,6234;
34;1;108;5;0;3,51282;36,1528;19,5156;105;5;0;2,99371;38,8477;17,1068;
17;0;109;5;0;3,0816;36,6589;16,9629;104;5;0;2,74019;37,4457;15,8088;
30;8;111;5;3;3,33663;33,7462;17,7544;105;5;5;3,6749;34,6801;20,5433;
53;6;111;5;4;3,37337;37,3775;18,0713;109;5;5;3,82143;37,7619;20,6712;
50;6;112;5;1;3,58816;38,0023;19,1817;108;5;0;3,65737;30,8863;20,3187;
98;19;113;5;4;4,024;35,8322;21,1724;107;5;5;4,26283;37,7605;23,534;
74;11;113;5;1;4,0609;38,6192;21,4659;108;5;3;4,27295;36,3741;23,5691;
25;3;104;5;3;3,17013;36,7362;18,1808;109;5;2;2,94201;34,8851;16,0799;
45;4;106;5;1;3,18475;36,5625;17,9718;107;5;5;3,98964;32,4264;21,9929;
26;5;108;5;2;3,41543;35,6334;18,8352;107;5;2;3,44877;38,0236;19,3247;
43;6;111;5;5;3,40287;37,5941;18,0343;109;5;4;3,79323;37,0126;20,5632;
39;8;106;5;4;3,18553;36,3906;17,6884;107;5;4;3,83401;35,6968;21,0101;
43;14;107;5;5;3,85425;37,6795;21,2338;115;5;4;4,01757;41,1448;20,6855;
47;6;110;5;3;3,69501;37,7517;20,0381;106;5;4;3,90288;40,7824;21,7803;
25;10;101;5;2;3,1513;37,1354;18,4992;107;5;0;2,50036;31,2626;14,0207;
69;6;108;5;1;3,99904;34,9785;22,1421;110;5;0;3,95699;40,6737;21,5836;
63;7;113;5;1;3,87922;39,4665;20,5674;109;5;1;4,14331;36,8896;22,7608;
48;12;111;5;3;3,91723;39,0045;20,9691;109;5;4;3,88566;35,3572;21,0177;
57;11;106;5;2;3,76886;39,3309;21,1449;111;5;3;4,07592;34,9657;21,8718;
40;3;110;5;2;3,45955;33,1604;18,7415;107;5;0;3,53706;35,1517;19,8339;
38;8;105;5;4;2,73571;35,0849;15,3166;108;5;4;3,46185;34,8934;18,7571;
42;10;114;5;2;3,60173;38,5992;18,8201;108;5;3;4,03718;37,9396;22,1793;
42;5;106;5;5;3,30503;35,7716;18,4874;107;5;1;3,81791;36,5248;21,3391;
55;8;104;5;4;3,65574;35,2342;20,5288;110;5;0;3,68232;35,7935;20,0854;
40;7;105;5;5;3,84272;37,0902;21,479;111;5;4;3,44822;37,8128;18,3937;
60;10;107;5;4;3,72052;33,9677;20,5018;110;5;2;3,65256;35,5477;19,7293;
35;6;106;5;3;3,72947;37,0424;21,0075;109;5;2;3,28305;39,3468;17,8341;
;;;;;;;;;;;;;;
;Verlorene K;Verlorene PK;0Bediente;0Qmax;0Qnow;0Qavg;0WaitMax;0WaitAvg;1Bediente;1Qmax;1Qnow;1Qavg;1WaitMax;1WaitAvg
Erwartungswert;47,5;7,64;108,48;5;2,98;3,6101224;36,59243;19,754606;108,58;5;2,86;3,7166022;36,43175;20,3249
Varianz;221,8877551;11,82693878;12,00979592;0;2,02;0,07975717;2,293932245;2,064071634;4,126122449;0;2,898367347;0,136789532;5,448325649;3,859240751
