Verlorene K;Verlorene PK;0Bediente;0Qmax;0Qnow;0Qavg;0WaitMax;0WaitAvg;1Bediente;1Qmax;1Qnow;1Qavg;1WaitMax;1WaitAvg;2Bediente;2Qmax;2Qnow;2Qavg;2WaitMax;2WaitAvg;
0;0;107;4;2;1,21109;25,2588;6,638;88;4;2;0,97096;27,3184;6,5641;73;4;2;0,73786;23,5317;6,0252;
0;0;106;3;0;0,97832;16,4751;5,5376;92;2;0;0,67278;16,8928;4,3877;74;2;0;0,37727;11,3386;3,0589;
0;0;107;4;3;1,19661;22,7517;6,398;92;4;3;0,98293;23,1892;6,0923;72;4;3;0,61768;17,5591;4,6964;
1;0;108;5;1;1,73516;31,9876;9,6231;95;5;1;1,44768;30,3478;9,1083;83;5;1;1,16398;29,3857;8,3477;
0;0;101;3;2;0,91963;18,2019;5,3052;90;3;1;0,57234;14,5093;3,7733;60;3;0;0,37432;13,3911;3,7432;
0;0;110;4;2;1,27817;20,245;6,9135;96;4;2;1,01267;22,7574;6,2135;85;3;1;0,71525;18,0094;5,0045;
0;0;106;5;4;1,76047;32,7894;9,3942;99;4;3;1,38153;28,9953;8,1095;86;4;3;1,10834;19,6797;7,3736;
0;0;110;5;0;1,21236;22,4643;6,6128;91;5;1;0,96182;26,9985;6,2905;70;4;0;0,66923;25,5251;5,7362;
0;0;109;4;3;1,98629;27,9993;10,7444;98;4;1;1,63305;24,7993;9,936;98;4;2;1,31625;22,6335;7,9944;
0;0;109;3;1;0,90645;18,5424;4,9551;85;3;0;0,61554;15,5814;4,345;60;3;0;0,38721;15,3431;3,8721;
3;1;104;5;3;1,58956;35,1987;9,042;97;5;2;1,3026;27,9155;7,9925;77;5;2;1,02506;30,7787;7,8128;
0;0;108;4;1;1,16277;18,18;6,3721;102;3;1;0,93286;25,3144;5,4003;77;3;1;0,55188;17,7721;4,2414;
2;0;105;5;1;1,5499;37,1411;8,8133;99;5;1;1,18493;25,3305;7,1676;74;5;0;0,95433;27,3766;7,7377;
0;0;107;4;2;1,05917;23,7394;5,8877;95;4;1;0,76026;27,2652;4,7924;74;3;1;0,47048;15,0453;3,8085;
0;0;109;4;1;1,34879;25,6145;7,4177;95;4;0;1,08489;23,5279;6,8519;75;4;0;0,86585;20,3475;6,9268;
0;0;109;4;1;1,10876;24,5884;6,068;95;4;1;0,86436;19,9915;5,4378;72;4;0;0,57208;14,5332;4,7673;
0;0;112;5;2;1,90353;34,0131;9,9972;101;5;2;1,62713;28,1547;9,5605;89;5;2;1,27085;31,6589;8,4496;
0;0;101;3;1;1,03876;15,9036;6,1505;93;3;1;0,72362;22,76;4,6297;73;3;1;0,46906;13,9269;3,7861;
0;0;111;3;1;1,17433;25,8717;6,335;94;3;1;0,7776;19,1209;4,9569;81;2;0;0,48945;13,8637;3,6255;
0;0;111;4;2;1,04102;20,016;5,4335;85;3;2;0,81048;20,3139;5,6651;71;3;2;0,52027;15,7314;4,2655;
0;0;107;4;2;1,44669;23,0957;8,035;94;4;1;1,22153;24,8269;7,765;73;3;0;0,7823;18,864;6,4298;
0;0;107;3;2;0,90121;16,7682;5,0219;87;3;2;0,5787;17,2826;3,9586;67;2;1;0,36221;14,8573;3,2152;
1;1;112;5;1;1,58265;31,9833;8,4697;103;5;1;1,2099;32,7791;7,0475;71;5;0;1,04001;29,8029;8,7888;
0;0;108;3;0;0,80892;15,4792;4,4939;87;2;0;0,49343;15,3654;3,4029;53;2;0;0,28705;15,0344;3,2495;
0;0;108;3;1;0,71454;11,8243;3,9473;73;3;0;0,46275;15,7351;3,8033;48;2;0;0,22986;12,2205;2,8732;
0;0;111;3;1;0,83187;14,7969;4,4884;85;2;1;0,56541;14,7169;3,916;64;2;0;0,28055;10,6732;2,6301;
0;0;105;5;2;1,49473;34,9444;8,4762;91;4;2;1,1927;22,1514;7,7222;86;4;2;0,94862;18,2783;6,56;
0;0;112;5;0;1,42646;25,5114;7,6417;87;5;1;1,14261;29,2278;7,8278;77;4;0;0,8526;23,5037;6,6436;
7;4;115;5;5;3,15444;29,5702;15,9022;112;5;5;2,87828;27,68;14,7361;93;5;5;2,6538;34,419;16,4147;
0;0;109;5;3;1,79314;29,1958;9,3144;100;4;2;1,49915;25,2751;8,5823;94;4;2;1,13243;20,7823;7,1693;
0;0;100;3;0;0,88288;24,4851;5,2972;85;3;1;0,59757;20,93;4,1622;59;3;1;0,36088;16,6842;3,6436;
0;0;105;5;1;1,44022;25,7337;8,1742;92;4;1;1,09944;24,8557;7,1175;69;4;0;0,86288;31,8058;7,5033;
0;0;106;2;1;0,76116;15,6251;4,3001;85;2;0;0,53321;14,0847;3,7638;58;2;0;0,25186;14,9699;2,6054;
0;0;115;4;1;1,09653;17,4805;5,7057;89;3;1;0,82231;21,5221;5,5346;72;3;0;0,55445;20,3268;4,6204;
0;0;112;5;1;1,19288;26,3256;6,3875;88;5;0;0,88691;22,2906;6,0471;67;4;0;0,63352;23,2692;5,6732;
0;0;111;4;2;1,09577;23,6513;5,827;95;3;1;0,91349;21,4762;5,7534;78;3;1;0,48987;19,226;3,7313;
0;0;106;5;1;1,38733;33,9437;7,8464;95;5;0;1,08654;25,2797;6,8623;74;5;0;0,83416;24,693;6,7634;
0;0;114;5;0;0,96098;26,3611;5,0577;76;4;0;0,64314;28,7499;5,0773;55;4;0;0,46389;29,3162;5,0605;
0;0;111;5;0;1,68601;28,9822;9,1135;105;5;0;1,45784;27,8651;8,3304;78;4;0;1,11179;29,3526;8,5522;
3;1;106;5;1;1,8153;39,1584;10,2431;96;5;0;1,51513;41,3675;9,4695;86;5;1;1,14391;30,2439;7,9219;
0;0;100;4;3;1,26171;23,6564;7,327;102;3;2;0,94482;18,5574;5,413;79;3;1;0,63701;25,7665;4,7504;
0;0;112;5;0;1,81622;29,007;9,7297;100;5;1;1,47348;30,8602;8,8239;77;4;0;1,19079;23,4055;9,2788;
0;0;100;4;0;1,17964;19,0278;7,0778;93;4;0;0,78069;17,962;5,0367;69;3;0;0,57915;25,4576;5,036;
0;0;105;4;1;1,07207;26,0855;6,1089;95;4;1;0,76323;18,665;4,765;64;3;1;0,48608;17,5325;4,4965;
3;2;106;5;1;1,70488;34,8878;9,5995;93;5;0;1,47733;37,2905;9,5311;74;5;0;1,10334;26,868;8,946;
0;0;107;3;1;1,18369;19,3344;6,5781;97;3;1;0,84528;21,292;5,1925;59;3;1;0,52411;16,5319;5,3226;
1;0;104;5;1;1,64959;33,6538;9,4657;99;5;1;1,39034;34,9394;8,424;75;5;0;1,0949;25,7675;8,7591;
0;0;109;5;2;1,14544;26,1987;6,2402;95;5;1;0,87849;26,2798;5,4406;64;4;1;0,56808;27,918;5,3169;
0;0;112;5;1;1,63226;26,4513;8,7332;97;4;1;1,35407;23,8676;8,2532;81;4;1;1,11343;26,7566;8,1607;
0;0;110;3;1;0,89386;17,4074;4,8701;83;3;0;0,62831;16,5117;4,5419;67;2;0;0,34296;12,0995;3,0713;
;;;;;;;;;;;;;;;;;;;;
;Verlorene K;Verlorene PK;0Bediente;0Qmax;0Qnow;0Qavg;0WaitMax;0WaitAvg;1Bediente;1Qmax;1Qnow;1Qavg;1WaitMax;1WaitAvg;2Bediente;2Qmax;2Qnow;2Qavg;2WaitMax;2WaitAvg
Erwartungswert;0,42;0,18;107,9;4,16;1,38;1,3234842;24,952164;7,262244;93,22;3,88;1,06;1,0331222;23,815426;6,471532;73,1;3,58;0,78;0,7514638;21,277162;5,889222
Varianz;1,513877551;0,436326531;13,8877551;0,749387755;1,179183673;0,181644461;44,82764397;4,815889824;50,25673469;0,924081633;0,955510204;0,179700676;36,09919154;4,755716938;111,6428571;0,983265306;1,113877551;0,171591085;41,17714261;6,265916118
