Verlorene K;Verlorene PK;0Bediente;0Qmax;0Qnow;0Qavg;0WaitMax;0WaitAvg;1Bediente;1Qmax;1Qnow;1Qavg;1WaitMax;1WaitAvg;2Bediente;2Qmax;2Qnow;2Qavg;2WaitMax;2WaitAvg;
0;0;74;5;2;1,04872;33,0433;8,3676;106;5;5;2,77394;40,3963;15,5354;87;5;0;1,31119;26,6042;9,0426;
0;0;77;5;0;0,96345;26,0603;7,5073;108;5;1;2,64013;32,8677;14,5732;86;4;0;0,60466;16,8269;4,2185;
1;0;75;5;5;0,78133;26,7054;5,5712;104;5;3;3,18106;40,9358;17,7895;89;5;3;1,5792;37,8345;10,2284;
3;1;85;5;1;1,2898;31,7065;9,0654;104;5;1;3,48773;37,9661;20,0683;94;5;1;1,70018;37,9363;10,8331;
0;0;72;4;0;0,50932;22,8148;4,2443;108;5;4;2,86651;35,3055;15,5048;66;5;4;0,58702;23,0207;4,4416;
3;0;88;5;2;1,24243;29,0301;8,2739;107;5;3;3,37591;34,9967;18,784;92;5;1;1,69824;36,4376;11,0346;
4;0;90;5;3;1,36456;31,594;8,7632;104;5;4;3,32008;33,5481;18,5772;92;5;4;1,57633;37,6312;9,7787;
0;0;70;5;0;1,28315;36,4844;10,9984;112;5;5;3,44111;40,5469;17,8143;85;5;0;1,04314;26,4638;7,3633;
0;0;96;5;0;1,41683;25,1456;8,8551;112;5;2;3,43056;41,9587;18,3264;96;5;5;2,30943;32,9622;13,572;
0;0;73;5;0;0,56646;22,4949;4,6558;104;5;3;2,95474;36,4363;16,8321;75;5;0;0,64032;26,3492;5,1225;
6;1;78;5;4;1,02887;37,1673;7,4788;104;5;4;3,4373;36,8892;19,5084;88;5;4;1,58783;37,8498;10,528;
0;0;84;5;0;1,18437;26,8427;8,4597;113;5;2;3,12734;34,3508;16,335;88;5;3;1,29475;37,4928;8,5628;
4;0;81;5;0;1,04203;36,2898;7,7187;107;5;2;3,06559;34,8877;17,0736;88;5;0;1,21546;32,3362;8,2872;
0;0;79;4;1;0,7602;23,9733;5,7679;109;5;4;2,89193;37,4411;15,5822;85;4;2;0,73764;22,1346;5,1164;
0;0;77;5;0;1,03208;27,8015;8,0421;104;5;4;2,91423;41,1644;16,1553;94;5;1;1,27543;30,9928;8,1365;
0;0;83;4;0;0,56278;18,1124;4,0682;105;5;4;3,15928;35,5732;17,8278;85;5;1;1,32808;27,7498;9,3638;
4;0;92;5;2;1,44854;31,236;9,333;104;5;5;3,89432;39,2422;21,9081;96;5;5;2,11249;34,9838;12,3819;
0;0;78;5;0;0,61715;25,068;4,7473;104;5;3;3,49344;36,6052;19,9626;83;5;2;0,76477;20,5007;5,4371;
0;0;83;5;0;1,01915;32,9326;7,3673;108;5;4;3,39815;32,9162;18,1547;89;5;4;1,15656;25,0914;7,6177;
0;0;78;5;1;0,69333;27,3552;5,2995;101;5;4;3,00647;35,7768;17,3862;86;5;3;1,04615;30,6386;7,1671;
0;0;76;5;2;0,92918;35,5358;7,2837;106;5;4;3,08899;38,9967;17,1999;89;5;0;1,55084;33,5045;10,455;
0;0;73;5;0;0,85774;28,2043;7,0499;110;5;5;2,96168;32,8136;15,583;75;4;3;0,42124;17,1332;3,3229;
4;0;85;5;0;1,13566;31,6257;8,0164;107;5;5;3,40254;39,7099;18,6392;88;5;1;1,76803;39,1293;11,918;
0;0;72;5;0;0,48072;20,3852;4,0059;100;5;2;2,57928;32,2524;15,3562;74;5;0;0,69666;25,7426;5,6486;
0;0;64;4;0;0,31842;18,3167;2,9851;104;5;1;2,74219;36,4682;15,7745;61;5;0;0,53116;29,2049;5,2245;
0;0;74;5;0;0,82344;37,2013;6,6765;104;5;5;2,90642;34,8934;16,2855;79;5;0;0,51944;16,1271;3,9451;
3;0;84;5;2;1,39331;26,7129;9,8376;107;5;4;2,96833;35,5796;16,4196;87;5;1;1,84498;37,2458;12,7203;
2;1;79;5;0;1,27912;29,4234;9,7148;109;5;2;2,99584;35,0769;16,3975;84;5;0;1,26366;31,4205;9,0261;
13;4;102;5;5;2,76512;35,949;15,2236;111;5;5;3,65885;36,0738;19,1021;101;5;5;2,89815;36,6721;16,9245;
5;3;91;5;4;1,66766;33,7769;10,282;107;5;2;3,56575;36,2509;19,7586;95;5;3;2,00393;31,4298;12,2047;
0;0;72;3;0;0,60366;19,376;5,0304;98;5;4;2,75764;40,1855;16,6894;72;5;0;0,52981;21,8883;4,4151;
1;0;73;5;0;1,31445;37,5117;10,8036;107;5;4;2,51812;37,222;13,8086;82;5;1;1,56017;30,9858;11,3568;
0;0;73;4;0;0,38465;13,9772;3,1615;97;5;5;3,01856;39,8544;17,8562;75;5;0;0,65833;32,2386;5,2666;
0;0;75;5;1;0,92693;32,4983;7,3971;104;5;5;2,86853;37,681;15,8893;89;5;4;1,29828;24,2598;8,2136;
2;0;75;5;0;0,89663;26,5171;7,173;106;5;3;2,81483;35,6504;15,5997;78;5;4;1,26495;36,1954;9,3313;
0;0;77;5;1;1,01858;30,2754;7,8742;113;5;4;3,30503;38,1925;17,0832;89;5;4;1,10678;22,9864;7,3118;
3;0;75;5;0;0,97194;33,5102;7,7755;108;5;3;3,2237;37,0856;17,4973;85;5;2;1,15474;36,71;8,0895;
3;1;67;5;0;0,75837;36,0676;6,7913;103;5;2;2,8657;35,18;16,4763;69;5;0;0,87183;40,9731;7,5811;
1;0;87;5;0;1,77888;30,4018;12,2681;107;5;2;3,73355;38,0588;20,6799;97;5;0;1,46406;30,7125;9,056;
7;0;82;5;0;1,25212;36,0868;9,1618;110;5;1;3,26028;39,0597;17,7373;94;5;0;1,39436;30,7267;8,9002;
0;0;82;5;2;0,98298;31,9487;6,9072;106;5;2;3,33424;40,0747;18,5854;91;5;4;1,29382;26,6472;8,2226;
3;0;87;5;0;1,49423;31,2931;10,305;106;5;3;3,51793;36,0156;19,5348;91;5;0;1,60631;30,6199;10,591;
3;0;69;5;0;0,88584;32,3191;7,7029;103;5;1;2,97976;35,4133;17,3537;86;5;0;1,05669;28,6016;7,3722;
4;0;71;5;0;0,84491;37,2471;7,14;105;5;5;2,72544;36,1489;15,1181;82;5;0;1,15187;31,5296;8,4283;
3;2;79;5;0;1,1999;30,4496;9,1131;105;5;2;2,89127;33,5173;16,0592;87;5;1;1,39437;33,4555;9,5595;
3;0;75;5;1;0,9234;34,5171;7,3814;100;5;4;2,86793;39,6863;16,9929;83;5;0;1,11664;27,2909;8,0721;
