Verlorene K;Verlorene PK;Bediente;Qmax;Qnow;Qavg;WaitMax;WaitAvg;PBediente;PQmax;PQnow;PQavg;PWaitMax;PWaitAvg;
67;0;158;5;5;3,06815;35,3696;11,0963;49;4;2;0,20057;9,0625;2,4266;
63;0;177;5;0;3,07943;28,0801;10,4387;42;2;0;0,11221;6,3113;1,603;
58;0;180;5;2;3,18154;31,716;10,5822;50;3;0;0,14959;7,3699;1,7951;
137;0;98;5;4;3,62481;86,6935;21,9297;45;3;0;0,30009;13,1469;4,0012;
127;0;90;5;5;3,64831;86,4729;23,221;31;3;1;0,24042;17,5767;4,6051;
135;0;128;5;5;3,95274;58,014;17,443;31;2;1;0,15738;8,8808;3,0145;
85;0;175;5;4;3,41238;32,5029;11,4821;36;2;0;0,11594;9,011;1,9323;
46;0;188;5;3;2,80636;28,1086;8,8579;31;2;0;0,08189;5,6945;1,585;
83;0;186;5;3;3,42726;27,1537;10,9647;43;2;0;0,14474;7,0565;2,0196;
113;0;94;5;5;3,88303;60,0997;23,4006;36;2;0;0,1825;11,8514;3,0416;
73;0;179;5;3;3,47181;31,2538;11,5711;39;2;0;0,12258;8,1172;1,8857;
180;0;74;5;5;4,49174;96,964;33,8455;36;3;0;0,42436;22,8215;7,0726;
84;0;146;5;5;3,05538;74,6849;12,1275;42;2;0;0,16739;7,9304;2,3912;
155;0;82;5;5;4,23024;120,8732;30,3053;46;4;0;0,33739;20,5157;4,4007;
132;0;99;5;5;3,94648;61,5453;23,0002;40;3;0;0,26783;11,9957;4,0174;
89;0;142;5;5;3,46305;48,4863;14,1942;35;2;0;0,1377;7,7137;2,3606;
179;0;86;5;5;4,06815;79,2071;27,1481;38;2;0;0,24314;14,6002;3,839;
135;0;87;5;4;3,91124;82,0498;26,057;41;3;0;0,30895;13,6353;4,5212;
148;0;90;5;5;4,12602;71,0604;25,4665;37;3;0;0,33708;22,8013;5,4662;
87;0;143;5;5;3,53865;65,8817;14,072;36;2;0;0,14318;9,228;2,3863;
131;0;108;5;5;3,82978;63,9497;20,9636;30;3;1;0,16509;11,7745;3,2698;
99;0;122;5;5;3,01145;71,2187;14,2339;43;2;0;0,17125;9,7371;2,3894;
72;0;180;5;4;3,62012;26,6128;11,9705;39;2;0;0,12709;5,9145;1,9552;
74;0;135;5;4;3,17907;89,7854;12,8931;45;2;0;0,16993;8,4808;2,2657;
100;0;95;5;4;3,81451;74,2222;23,7371;26;2;0;0,15769;12,8269;3,6389;
55;0;160;5;2;2,33854;36,1091;8,7239;42;2;0;0,15272;7,2998;2,1817;
100;0;154;5;5;3,58115;63,1502;13,4654;25;1;0;0,08017;8,1562;1,924;
96;0;139;5;5;3,56449;106,2656;14,5106;39;3;0;0,21591;16,4553;3,3217;
205;0;75;5;5;4,23595;118,3443;32,0523;56;3;0;0,42151;12,5247;4,5161;
186;0;78;5;4;4,34524;94,9324;32,8953;40;3;1;0,25582;10,2663;3,8269;
120;0;87;5;5;4,06551;93,2789;27,0161;34;2;1;0,29372;15,2483;4,894;
83;0;145;5;5;3,47901;66,4755;13,5389;31;2;0;0,13501;10,7571;2,613;
130;0;78;5;5;4,25615;126,549;31,6068;40;3;0;0,28438;17,2665;4,2656;
44;0;196;5;5;2,10503;24,8458;6,2456;39;2;0;0,09866;6,74;1,5178;
148;0;73;5;5;4,32511;82,4672;34,1659;41;4;0;0,41853;20,0694;6,1248;
57;0;182;5;5;3,19685;32,6333;10,4298;37;2;0;0,12375;6,9879;2,0068;
73;0;153;5;5;3,5159;52,2284;12,4016;37;3;0;0,166;11,9469;2,6918;
75;0;124;5;3;3,35329;76,1298;15,8634;45;4;0;0,29557;14,0286;3,9409;
119;0;136;5;4;3,53698;60,2871;15,0491;32;2;0;0,1432;10,4551;2,6849;
168;0;76;5;4;4,48188;92,0902;34,9602;43;3;0;0,38669;16,9943;5,3956;
126;0;109;5;5;3,8376;85,1696;20,3452;44;3;1;0,25105;14,1865;3,3459;
156;0;85;5;5;3,80108;87,0214;25,7174;44;3;0;0,30289;14,7932;4,1303;
100;0;123;5;4;3,48166;130,3557;13,9802;44;4;1;0,25671;18,8139;3,4231;
150;0;81;5;4;4,22438;113,3826;30,1431;32;2;0;0,30286;13,0184;5,6785;
55;0;177;5;1;2,93107;30,8321;9,9311;51;2;0;0,15136;6,1925;1,7806;
54;0;170;5;5;3,00662;26,6359;10,3428;36;3;1;0,14713;8,8291;2,4209;
67;0;168;5;5;3,11148;36,7787;10,2341;35;2;0;0,14797;6,3421;2,5367;
86;0;139;5;5;3,53375;48,3758;14,0345;43;2;1;0,19819;10,4557;2,5767;
151;0;93;5;4;3,76997;93,9651;23,5113;43;3;0;0,29269;13,7769;4,084;
81;0;141;5;5;3,25226;57,9119;12,9813;36;2;0;0,08591;4,5679;1,4318;
;;;;;;;;;;;;;;
;Verlorene K;Verlorene PK;Bediente;Qmax;Qnow;Qavg;WaitMax;WaitAvg;PBediente;PQmax;PQnow;PQavg;PWaitMax;PWaitAvg
Erwartungswert;106,74;0;127,68;5;4,3;3,583453;67,364438;18,502954;39,12;2,54;0,22;0,2114876;11,604538;3,22396
Varianz;1697,298367;0;1517,487347;0;1,275510204;0,268608517;883,9351953;68,33437373;39,3322449;0,498367347;0,215918367;0,00877321;21,31432473;1,777411769
